nombre,codigo_chilemat,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel,unidad
PERILLON ODIS / MODELO D100 / TIPO BOLA 57MM / PARA PUERTAS DE 35 A 45MM.,PER0000006,,5927.34492,,,un,un,1.0,0,General,Otros,,,,
PERILLON ODIS COLONIAL BT,PER0000013,,11866.93864,,,un,un,1.0,0,General,Otros,,,,
PERNOS CAUPOLICAN (PAR),PERCAU,,729.908,,,unidad,unidad,1.0,0,Ferreteria,Fijaciones,,,,
ROLLO ESPUMA NIVELADORA (1.00 MT X 10MTRS X 2MM),PEX100XM2X10,,2238.92,,,unidad,unidad,1.0,0,General,Otros,,,,
ROLLO ESPUMA NIVELADORA (1.00 MT X 10 MTRS X 3MM),PEX100XM3X10,,2706.784,,,Unidad,Unidad,1.0,0,General,Otros,,,,
ROLLO ESPUMA NIVELADORA (1.00MT X 100MTRS X 3MM),PEX100XM3X100,,27067.84,,,unidad,unidad,1.0,0,General,Otros,,,,
ROLLO ESPUMA NIVELADORA (1.00 MT X 20 MTRS X 3MM),PEX100XM3X20,,5414.572,,,unidad,unidad,1.0,0,General,Otros,,,,
ANCLAJE TAZA / PISO UNIVERSAL BRONCE CROMADO,PF-10,,941.4005999999999,,,unidad,unidad,1.0,0,Ferreteria,Fijaciones,,,,
ANCLAJE TAZA / PISO UNIVERSAL ZINC (PAR),PF-10Z,,681.716,,,unidad,unidad,1.0,0,Ferreteria,Fijaciones,,,,
DADO MAGNETICO HEXAGONAL 5/16X 45MM,PFI 168480010,,412.644,,,unidad,unidad,1.0,0,General,Otros,,,,
"GOLILLA CALIBRADA ZN ANSI ANGOSTA 1/4"" (500 UNID.)",PGAV-500,,3620.09268,,,caja,caja,1.0,0,Construccion,Materiales,,,,
"GOLILLA CALIBRADA ZN ANSI ANGOSTA 3/16"" (500 UNIDADES)",PGAY-500,,2943.5874400000002,,,caja,caja,1.0,0,Construccion,Materiales,,,,
"GOLILLA PLANA CORRIENTE 1/2"" (200 UNID.)",PGCB-200,,6649.55224,,,caja,caja,1.0,0,General,Otros,,,,
"GOLILLA PLANA CORRIENTE 1/4"" (200 UNID.)",PGCC-200,,2980.54468,,,caja,caja,1.0,0,General,Otros,,,,
TERCIADO ESTRUCTURAL 12X2440X1220 81PZA/PQ CDX,PGCDX12,,17315.7872,,,PLACA,PLACA,1.0,0,General,Otros,,,,
"GOLILLA PLANA CORRIENTE 3/8"" (200 UNID.)",PGCE-200,,5304.94524,,,caja,caja,1.0,0,General,Otros,,,,
