nombre,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel,unidad
"VOLCANBOARD 1,20X2,40 M X 5 MM",2000720,12246.79,16533.17,14696.15,unidad,unidad,1.0,100,General,Otros,,,,
"VOLCANBOARD 1,20 X 2,40 X 6MM",2000721,17521.81,23654.44,21026.17,unidad,unidad,1.0,100,General,Otros,,,,
"VOLCANBOARD BACKER VOLCÁN 1,20X2,40 M X 6 MM",2000747,15404.87,20796.58,18485.85,unidad,unidad,1.0,100,General,Otros,,,,
"VOLCANBOARD RANURADO 1,20X2,40 M X 6 MM",2000748,18683.44,25222.64,22420.12,unidad,unidad,1.0,100,General,Otros,,,,
"VOLCANBOARD SIDING NATIVA 0,19X3,66 M X 6 MM",2000752,5346.30,7217.51,6415.56,unidad,unidad,1.0,100,General,Otros,,,,
ESM SINT PAJ AMA.REY (SOQUINA),20007601,18577.01,25078.97,22292.41,galon,galon,1.0,100,General,Otros,,,,
ESM SINT PAJ AZUL PACIFICO (SOQUINA),20008101,18577.01,25078.97,22292.41,galon,galon,1.0,100,General,Otros,,,,
ESM SINT PAJ AZUL ULTRAMAR (SOQUINA),20008201,18577.01,25078.97,22292.41,galon,galon,1.0,100,General,Otros,,,,
ESM SINT PAJ CAFE MORO (SOQUINA),20008401,18577.01,25078.97,22292.41,galon,galon,1.0,100,General,Otros,,,,
ESM SINT PAJ VERDE REJA (SOQUINA),20009201,18577.01,25078.97,22292.41,galon,galon,1.0,100,General,Otros,,,,
